Claim,Evidence,Source,Link of Evidence,Label (SUPPORTED/REFUTED/NOT ENOUGH INFORMATION (NEI)),Annotation,Language,Evidence ,LINK OF EVIDENCE,LABEL(supported/not supported/not enough information),Source URL,Verdict,Reason,Label (Supported/Not Supported/ not enough information (NEI) ),Unnamed: 5,Label,Label (Supported/Not Supported/Not Enough Information (NEI)),Annotation (എന്തുകൊണ്ട് Supported/Not Supported/NEI),Source Link,Category,Label ,Column1,Label 1,Label 2
ਬੀ ਪ੍ਰਾਕ ਨੇ ਯੂਕੇ ਵਿੱਚ ਆਪਣੇ ਨਵੇਂ ਸੰਗੀਤਕ ਟੂਰ ਦਾ ਐਲਾਨ ਕੀਤਾ ਹੈ।,"ਅਧਿਕਾਰਤ ਸੋਸ਼ਲ ਮੀਡੀਆ ਹੈਂਡਲ ਮੁਤਾਬਕ, ਬੀ ਪ੍ਰਾਕ ਨੇ ਯੂਕੇ ਟੂਰ ਦੀ ਪੁਸ਼ਟੀ ਕੀਤੀ ਹੈ।",Zee News Punjab,https://zeenews.india.com/punjabi?id=10097,,,Punjab,,,,,,,,,,,,,,Supported,,,
റാപ്പർ മേഗൻ ദി സ്റ്റാലിയൻ ഒരു സാമൂഹ്യ മാധ്യമ സ്വാധീനിയ്‌ക്കെതിരായ അപകീർത്തി കേസ് 2025-ൽ വിജയിച്ചു.,"ജൂറി ആദ്യം 75,000 ഡോളർ വിധിച്ചെങ്കിലും കോടതി പിന്നീട് അത് 59,000 ഡോളറായി കുറച്ചു.",The Beat DFW,,,"മേഗൻ ദി സ്റ്റാലിയന്റെ അപകീർത്തി കേസിൽ ജൂറി ആദ്യം 75,000 ഡോളർ വിധിച്ചെങ്കിലും പിന്നീട് 59,000 ഡോളറായി കുറച്ചെന്ന് The Beat DFW റിപ്പോർട്ട് ചെയ്യുന്നു; ഇത് അവർക്ക് അനുകൂലമായ വിധിയാണ്.",Malayalam,,,,,,,,,Supported,,,https://thebeatdfw.com/4462973/most-notable-celebrity-lawsuits-of-2025/,,,,,
2023 മെയ് മുതൽ 2024 ഏപ്രിൽ വരെ നൈജീരിയയിൽ 22 ലക്ഷത്തിലധികം പേരെ തട്ടിക്കൊണ്ടുപോയതായി NBS സർവേ കണ്ടെത്തി.,"നൈജീരിയയുടെ ദേശീയ സ്ഥിതിവിവര ബ്യൂറോയുടെ (NBS) CESPS സർവേ പ്രകാരം 22,35,954 പേരെ ഈ കാലയളവിൽ തട്ടിക്കൊണ്ടുപോയി, ഇരകളിൽ 65% പേരും മോചനദ്രവ്യം നൽകി, ശരാശരി 26.7 ലക്ഷം നായ്‌റ വീതം.",National Bureau of Statistics Nigeria (via allAfrica),https://allafrica.com/stories/202412190120.html,,,Malayalam,,,,,,,Supported,,,,"നൈജീരിയയുടെ National Bureau of Statistics-ന്‍റെ Crime Experience and Security Perception Survey (CESPS) 2024 പ്രകാരം 2023 മെയ് മുതൽ 2024 ഏപ്രിൽ വരെ കൃത്യമായി 22,35,954 പേരെ തട്ടിക്കൊണ്ടുപോയി, 65% കുടുംബങ്ങൾ മോചനദ്രവ്യം നൽകി, ശരാശരി ₦26.7 ലക്ഷം വീതം (₦2,670,693) — ഈ കണക്കുകൾ allAfrica ഉൾപ്പെടെ ഒന്നിലധികം സ്രോതസ്സുകൾ സ്ഥിരീകരിക്കുന്നു. ലിങ്കും കണക്കുകളും കൃത്യമായി പൊരുത്തപ്പെടുന്നു.",,,,,,
റിഹാനയും എ$എപി റോക്കിയും 2025 സെപ്റ്റംബർ 13-ന് തങ്ങളുടെ മൂന്നാമത്തെ കുഞ്ഞായ റോക്കി ഐറിഷ് മേയേഴ്സിന് ജന്മം നൽകി.,റിഹാന ഇൻസ്റ്റഗ്രാമിൽ 'Rocki Irish Mayers Sept 13 2025' എന്ന് കുറിച്ച് കുഞ്ഞിന്റെ ചിത്രം പങ്കുവെച്ചു; ഇത് ദമ്പതികളുടെ മൂന്നാമത്തെ കുട്ടിയാണ്.,CNN,,,റിഹാനയും എ$എപി റോക്കിയും 2025 സെപ്റ്റംബർ 13-ന് മൂന്നാമത്തെ കുഞ്ഞ് റോക്കി ഐറിഷ് മേയേഴ്സിന് ജന്മം നൽകി റിഹാന ഇൻസ്റ്റഗ്രാമിലൂടെ വാർത്ത അറിയിച്ചെന്ന് CNN സ്ഥിരീകരിക്കുന്നു.,Malayalam,,,,,,,,,Supported,,,https://www.cnn.com/2025/09/24/entertainment/rihanna-third-child-asap-rocky,,,,,
नेपालको फिफा वरियतामा तीन स्थान सुधार भयो।,"नेपालको फिफा वरियतामा सुधार भएको समाचार गलत - Nepal Factcheck ☰ होम हाम्रो बारे मिथ्या सूचना के हो? हाम्रो वर्गीकरणको अर्थ मिथ्या सूचना: के गर्ने? FAQs तथ्यजाँच अनुरोध × होम हाम्रो बारे मिथ्या सूचना के हो? हाम्रो वर्गीकरणको अर्थ मिथ्या सूचना: के गर्ने? FAQs तथ्यजाँच अनुरोध तथ्यजाँच मिथ्या सूचना वागमती सम्बन्धित प्रदेश नेपालको फिफा वरियतामा सुधार भएको समाचार गलत Home तथ्यजाँच मिथ्या सूचना उमेश श्रेष्ठ असार ३, २०७८ नेपालको फिफा वरियतामा सुधार भएको समाचार गलत केही नेपाली मिडियाले फिफा वरीयतामा नेपाली पुरुष फुटबल टिमको स्थान तीन अङ्कले सुधार भएको समाचार प्रकाशित गरेका छन्। नेपालले सन् २०२२ को विश्वकप र सन् २०२३ को एसियन कप छनोटमा गरेको प्रदर्शन लगत्तै यस्तो समाचार आएको हो। प्रदर्शनका क्रममा नेपालले आफूभन्दा ३० स्थान माथिको चाइनिज ताइपेईलाई २-० ले हराएको थियो। जोर्डन र अष्ट्रेलियासँग भने पराजित भएको र अर्को मैत्रिपूर्ण खेलमा इराकसँग ६-२ ले नेपाल हारेको थियो। के साँच्चिकै नेपालको फिफा वरियतामा सुधार भएकै हो? यो विषयमा हामीले तथ्य जाँच गरेका छौँ। २०७८ असार २ गते बुधबार कान्तिपुर दैनिकको अन्तिम पेजमा ‘फिफा वरीयतामा तीन स्थानमाथि’ शीर्षकको समाचार प्रकाशित भएको छ। कान्तिपुरकै अनलाइन इकान्तिपुर डट कममा पनि ‘फिफा वरीयतामा नेपाल तीन स्थानमाथि’ शीर्षकमा समाचार अपडेट भएको छ। कान्तिपुरको समाचार अनुसार ‘नयाँ वरीयतामा नेपाल १ सय ७१ औं स्थानबाट १ सय ६८ औं स्थानमा पुगेको हो ।’ ‘नेपालले एसियाली विश्वकप छनोटमा आफ्ना तीन खेलपछि यो वरीयताबाहिर आएको’ र ‘सन् २०१९ पछि नेपालको वरीयतामा सुधार आएको ’ दावी पनि कान्तिपुरको समाचारमा छ। खेलसम्बन्धी समाचारलाई प्राथमिकता दिने वेबसाइट नेप्लेज डट कमले २ वर्षपछि वरीयता सुधार भन्दै फिफाले सार्वजनिक गरेको दावी गरेको छ। यस्तै मेरो खेल डट कमले फिफाले सार्वजनिक गरेको वरियता दावी गर्दै समाचार लेखेको छ । अखिल नेपाल फुटबल संघ (एन्फा)का अध्यक्ष कर्मा छिरिङ शेर्पाले पनि आफ्नो फेसबुकमा नेपालको वरीयता सुधार भएको एउटा स्क्रिनसट सेयर गरेका थिए। नेपाली टिमका प्रशिक्षक अब्दुल्लाह अलमुताइरीले पनि त्यसलाई सेयर गरेका थिए। के हो तथ्य ? के साँच्चै नेपालको वरीयता सुधार भएकै हो त? विश्व फुटबलको वरीयता फुटबलको सर्वोच्च निकाय फिफाले सार्वजनिक गर्छ। नेपालको यो नयाँ वरियताबारे भने",NepalFactCheck.org,https://nepalfactcheck.org/2021/06/fifa-nepal-ranking/,,मिथ्या सूचना । फिफाले मे २७ मा पछिल्लो पटक वरियता सार्वजनिक गरेको थियो। त्यसयता नयाँ वरियता आएको छैन। नेपालको स्थान १७१ औँ नै छ। त्यसमा सुधार भएको छैन।,Nepali,,,,,,,,,REFUTES,,,,finance_investment,,,,
కాకతీయుల కాలంలో జైన మతం ప్రధానంగా ఉండేది.,"12వ శతాబ్దం వరకు తొలి కాకతీయులు జైన మతాన్ని అవలంబించారు. తర్వాత జైన, బౌద్ధాలు క్షీణించాయి.",Eenadu,https://pratibha.eenadu.net/tspsc/lesson/horticulture-officer/paper-1/telugu-medium/education/2-1016-335-737-1208-1493-9761-15338-,,,Telugu,,,,,,,,,Supported,,,,,,,,
ਨੀਰੂ ਬਾਜਵਾ ਦੀ ਨਵੀਂ ਫਿਲਮ ਨੇ ਪਹਿਲੇ ਦਿਨ 50 ਕਰੋੜ ਦੀ ਕਮਾਈ ਕੀਤੀ।,ਬਾਕਸ ਆਫਿਸ ਰਿਪੋਰਟਾਂ ਅਨੁਸਾਰ ਨੀਰੂ ਬਾਜਵਾ ਦੀ ਫਿਲਮ ਨੇ ਓਪਨਿੰਗ ਡੇਅ 'ਤੇ ਵਾਕਈ 50 ਕਰੋੜ ਕਮਾਏ ਹਨ।,Rozana Spokesman,https://www.rozanaspokesman.in/?id=10478,,,Punjab,,,,,,,,,,,,,,Supported,,,
24 दिसंबर 2002 को दिल्ली मेट्रो के पहले कॉरिडोर (शाहदरा से तीस हजारी) का औपचारिक उद्घाटन और व्यावसायिक परिचालन शुरू हुआ।,"प्रधानमंत्री अटल बिहारी वाजपेयी ने दिल्ली मेट्रो की पहली रेड लाइन का उद्घाटन किया, जो भारत के शहरी बुनियादी ढांचे में एक मील का पत्थर बना।",Delhi Metro Rail Corporation (DMRC) / PIB,https://pib.gov.in/newsite/PrintRelease.aspx?relid=4610,,,Hindi,,,,,,,Supported,,,,,,,,,,
स्विजरल्याण्डमा इच्छा मृत्यु यन्त्र (सार्को पोड) ले कानुनी मान्यता पायो।,"भाइरल पोस्टको दावी सही होइन : ‘सार्को पोड’ लाई कानुनी मान्यता छैन - Nepal Factcheck ☰ होम हाम्रो बारे मिथ्या सूचना के हो? हाम्रो वर्गीकरणको अर्थ मिथ्या सूचना: के गर्ने? FAQs तथ्यजाँच अनुरोध × होम हाम्रो बारे मिथ्या सूचना के हो? हाम्रो वर्गीकरणको अर्थ मिथ्या सूचना: के गर्ने? FAQs तथ्यजाँच अनुरोध तथ्यजाँच भ्रामक सूचना भाइरल पोस्टको दावी सही होइन : ‘सार्को पोड’ लाई कानुनी मान्यता छैन Home तथ्यजाँच भ्रामक सूचना नेपाल फ्याक्ट चेक फाल्गुन १५, २०८२ भाइरल पोस्टको दावी सही होइन : ‘सार्को पोड’ लाई कानुनी मान्यता छैन स्विजरल्याण्डमा सार्को पोड नामको इच्छामृत्यु यन्त्रले कानुनी मान्यता प्राप्त गरेको दावीसहितको पोस्ट फेसबुकमा भाइरल भएको छ। तर, हाम्रो तथ्यजाँचमा यो दावी भ्रामक रहेको देखियो। स्विस सरकारले ‘सार्को पोड’ आफ्नो देशको कानुनअनुसार अनुकूल नरहेको बताउँदै यसको प्रयोगलाई औपचारिक कानुनी मान्यता दिएको छैन। दावी के छ ? फेसबुकमा एक लाख ५५ हजार फलोअर्स रहेको ओम उप्रेति नामक प्रयोगकर्ताले ‘ स्विजरल्यान्डमा कानुनी मान्यता प्राप्त इच्छा मृत्यु यन्त्र ! ’ लेख्दै एउटा पोस्ट गरेका छन्। पोस्टमा लेखिएको छ, ‘यो यन्त्रले भित्र बसेको व्यक्तिको अक्सिजन स्तरलाई घटाएर नाइट्रोजन ग्यासको प्रयोग द्वारा शान्तपूर्वक निद्राकै अवस्थामा मृत्यु गराउँछ। यो प्रविधि विशेष गरी निको नहुने रोगबाट पीडित व्यक्तिहरूका लागि इच्छा मृत्युको विकल्पका रूपमा विकास गरिएको हो। तर नेपालमा यसलाई कानूनी रुपमा मान्यता प्राप्त छैन र मान्यता दिनु पनि हुन्न !’ हेर्नुस्, स्क्रिनसट, अर्काइभ लिंक शुक्रबार दिउँसो हामीले तथ्यजाँच गर्दासम्म ९३ पटक सेयर गरिएको उक्त पोस्टमा हजारौँ रियाक्सन, सयौँ कमेन्ट छन्। अधिकांश कमेन्ट लेख्नेहरुले दावीलाई सत्य मानेको पाइएपछि हामीले यसको तथ्यजाँच गरेका छौँ। तथ्य के हो ? यो विषयमा तथ्यजाँच गर्नका लागि हामीले सुरुमा उक्त फोटोलाई डाउनलोड गरी गुगलमा रिभर्स इमेज सर्च गर्‍यौँ। यस क्रममा सोही फोटो राखेर प्रकाशित भएका कयौँ सामाग्री फेला पार्‍यौँ। Swissinfo ले २०२४ सेप्टेम्बरमा प्रकाशित गरेको Assisted suicide: Sarco capsule deemed incompatible with Swiss law शीर्षकको समाचारमा स्विस सरकारले ‘सार्को पोड’ आफ्नो कानुनअनुसार अनुकूल नरहेको जनाएको उल्लेख छ। समाचार अनुसार, स्विस संसदमा बोल्दै स्वास्थ्यमन्त्री Elis",NepalFactCheck.org,https://nepalfactcheck.org/2026/02/switzerland-sarco-suicide-pod-not-legally-approved/,,"भ्रामक सूचना। स्विजरल्याण्डमा सहयोगसहितको आत्महत्या निश्चित सर्तमा कानुनी भए पनि ‘सार्को पोड’ मेसिनलाई सरकारले कानुनी मान्यता दिएको छैन। यसको प्रयोगपछि अनुसन्धान र पक्राउसमेत भएको छ। अनलाइनखबर र nepalfactcheck.org को सहकार्य सामाजिक सञ्जालमा कुनै फोटो, भिडियो वा पोस्ट देखेर शंका लाग्यो भने त्यसको लिङ्क हामीलाई ह्वाट्सएपमा पठाउन क्लिक गर्नुस् । हामी सम्भव भएसम्म तथ्य जाँच गर्नेछौँ।",Nepali,,,,,,,,,REFUTES,,,,health_medicine,,,,
2019-ലെ പുൽവാമ ആക്രമണത്തിൽ 40 സിആർപിഎഫ് ജവാൻമാർ കൊല്ലപ്പെട്ടു.,2019 ഫെബ്രുവരി 14-ന് ജയ്ഷ്-ഇ-മുഹമ്മദ് ഭീകരൻ അദിൽ അഹമ്മദ് ദാർ സ്ഫോടക വസ്തുക്കൾ നിറച്ച വാഹനം സിആർപിഎഫ് വാഹനവ്യൂഹത്തിലേക്ക് ഇടിച്ചുകയറ്റി 40 പേരെ കൊന്നു.,Wikipedia,https://en.wikipedia.org/wiki/2019_Pulwama_attack,,,Malayalam,,,,,,,Supported,,,,വിക്കിപീഡിയ സ്ഥിരീകരിക്കുന്നു: 2019 ഫെബ്രുവരി 14-ന് പുൽവാമ ചാവേർ ബോംബ് ആക്രമണത്തിൽ 40 സിആർപിഎഫ് ജവാൻമാർ കൊല്ലപ്പെട്ടു — ക്ലെയിം കൃത്യമാണ്.,,,,,,
